,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,business_status,name,place_id,plus_code.compound_code,plus_code.global_code,vicinity
221,1.323197,103.876608,1.324169,103.878109,1.321472,103.875411,OPERATIONAL,KiC Oil,ChIJtbzqHSkY2jER6u0J7rn8LJ0,8VFG+7J Singapore,6PH58VFG+7J,158 Kallang Way
222,1.302116,103.884315,1.303471,103.885712,1.300774,103.883014,OPERATIONAL,SPC Mountbatten,ChIJ7TkzEUQY2jEREpEWyjZWuaI,8V2M+RP Singapore,6PH58V2M+RP,710 Mountbatten Road
223,1.302112,103.884319,1.303469,103.885714,1.300772,103.883016,OPERATIONAL,SINGAPORE PETROLEUM COMPANY LIMITED,ChIJ7WYzEUQY2jERrkS1w2CVV_A,8V2M+RP Singapore,6PH58V2M+RP,710 Mountbatten Road
224,1.31857,103.908782,1.319828,103.910288,1.31713,103.90759,OPERATIONAL,SINGAPORE PETROLEUM COMPANY LIMITED,ChIJ86OIdwYY2jERNgM56YAcaqc,8W95+CG Singapore,6PH58W95+CG,"337 Changi Road, Singapore"
225,1.31859,103.908785,1.319837,103.910288,1.317139,103.90759,OPERATIONAL,SPC Changi,ChIJxeMleAYY2jERYSa9CQ8twbE,8W95+CG Singapore,6PH58W95+CG,337 Changi Road
226,1.328689,103.871876,1.330013,103.873239,1.327315,103.870541,OPERATIONAL,Esso,ChIJfX6YBP0X2jERp3U7put0ags,8VHC+FQ Singapore,6PH58VHC+FQ,"110 & 114, MacPherson Road"
227,1.318672,103.91296,1.320039,103.914385,1.317341,103.911687,OPERATIONAL,Komoco Kembangan Service Centre,ChIJOwWOguEZ2jERBBj3KIzciJE,8W97+F5 Singapore,6PH58W97+F5,"460 Changi Road, Singapore"
228,1.319154,103.913494,1.32056,103.91482,1.317862,103.912122,OPERATIONAL,Ronaldo's Services & Trading,ChIJLYwbogcY2jERBwkmrqnwCl0,8W97+M9 Singapore,6PH58W97+M9,"No. 460 Changi Road, 419883"
229,1.314489,103.934274,1.315758,103.935642,1.31306,103.932944,OPERATIONAL,Esso Upper East Coast,ChIJiUy-ALki2jERo6e_yBFS2bk,8W7M+QP Singapore,6PH58W7M+QP,251 Upper East Coast Road
230,1.312499,103.926555,1.313941,103.927915,1.311243,103.925217,OPERATIONAL,Shell,ChIJKXwdULsi2jER6-XOOnyrHd8,8W6G+XJ Singapore,6PH58W6G+XJ,40 Upper East Coast Road
231,1.314229,103.931113,1.315505,103.932476,1.312807,103.929779,OPERATIONAL,SPC Upper East Coast,ChIJ_0OF0rsi2jERTGh1boAs2Zc,8W7J+MC Singapore,6PH58W7J+MC,157 Upper East Coast Road
232,1.309043,103.910814,1.31021,103.912206,1.307512,103.909508,OPERATIONAL,Caltex East Coast,ChIJqY-EGgsY2jERDqGSJpobzZQ,8W56+J8 Singapore,6PH58W56+J8,355 East Coast Road
233,1.315504,103.91906,1.316807,103.920292,1.314109,103.917594,OPERATIONAL,Caltex Frankel Avenue,ChIJg5Bla6Yi2jERw5Fw520c5CQ,8W89+6J Singapore,6PH58W89+6J,71 Frankel Avenue
234,1.311035,103.920268,1.312485,103.921574,1.309787,103.918876,OPERATIONAL,Esso Frankel,ChIJZ3ZGtDwj2jERUdAD83GV1so,8W6C+C4 Singapore,6PH58W6C+C4,590 East Coast Road
235,1.308134,103.761167,1.30951,103.762552,1.306812,103.759854,OPERATIONAL,ESSO WEST COAST,ChIJJSdj15Ia2jERU9MQ1YwprHE,8Q56+7F Singapore,6PH58Q56+7F,181 West Coast Road
236,1.309665,103.755015,1.310976,103.756275,1.308278,103.753577,OPERATIONAL,ESSO JALAN BUROH,ChIJOwr2A0wF2jERJnjlCPqQMko,8Q54+V2 Singapore,6PH58Q54+V2,253 Jalan Buroh
237,1.314629,103.768587,1.316008,103.770072,1.31331,103.767374,OPERATIONAL,Caltex Clementi,ChIJ0aZ8xY4a2jERZG3ZYy8Xwlg,8Q79+VC Singapore,6PH58Q79+VC,126 Clementi Avenue 2
238,1.29941,103.750154,1.300874,103.751786,1.298176,103.749088,OPERATIONAL,Bitumen Complete Solutions Pte. Ltd.,ChIJfX_izsIa2jERhRotmEplTWk,7QX2+Q3 Singapore,6PH57QX2+Q3,42 Pandan Road
239,1.316682,103.726402,1.318064,103.727765,1.315366,103.725067,OPERATIONAL,Minyak Murah,ChIJr2E7u4EF2jERRW66Wfqn9-w,8P8G+MH Singapore,6PH58P8G+MH,14 Jalan Besut
240,1.30482,103.741963,1.306222,103.743372,1.303525,103.740674,OPERATIONAL,Caltex Jalan Buroh,ChIJF59PMcQa2jERDS3ASpHSiy0,8P3R+WQ Singapore,6PH58P3R+WQ,210 Jalan Buroh
241,1.302706,103.732394,1.304087,103.733749,1.301389,103.731051,OPERATIONAL,CNC Petroleum Costal Bunkering Station,ChIJ3b7rtpIb2jER7FG0WhfvAHI,8P3J+3X Singapore,6PH58P3J+3X,52 Penjuru Road
242,1.315714,103.720274,1.317111,103.721391,1.314413,103.718693,OPERATIONAL,Wen Shing Petroleum Trading,ChIJKYL9TU4F2jERb7HswrPbvlM,8P8C+74 Singapore,6PH58P8C+74,"27A Jurong Port Road, Singapore"
243,1.301463,103.732009,1.302933,103.733388,1.300235,103.73069,OPERATIONAL,CNC Petroleum,ChIJR6h7qc0a2jERqJVnINqvUXA,8P2J+HR Singapore,6PH58P2J+HR,"52 Penjuru Road, Singapore"
244,1.309768,103.721885,1.311103,103.723196,1.308406,103.720498,OPERATIONAL,Jurong Oceanic Trading Company,ChIJoYzklEkF2jERE-ajikZ-dgE,8P5C+WQ Singapore,6PH58P5C+WQ,5 Jalan Tepong
245,1.314745,103.714772,1.315968,103.716132,1.31327,103.713434,OPERATIONAL,SPC Jalan Buroh,ChIJmXMKsUUF2jEReuXH93AYQng,8P77+VW Singapore,6PH58P77+VW,33 Jalan Buroh
246,1.312692,103.713943,1.314041,103.715313,1.311343,103.712616,OPERATIONAL,Hiap Poh Hua Trading Co,ChIJna11ekYF2jER33h_TE6an9M,8P77+3H Singapore,6PH58P77+3H,42 Jalan Buroh
247,1.311423,103.709384,1.312765,103.711012,1.310067,103.708314,OPERATIONAL,Eneos Italsing Pte Ltd,ChIJNyczGkEF2jERTNvJXWRHwJ4,8P65+HQ Singapore,6PH58P65+HQ,"9B Jurong Pier Road, Singapore"
248,1.313223,103.687559,1.314691,103.68884,1.311993,103.686142,OPERATIONAL,ESSO PIONEER,ChIJqUPAHHQF2jERxUjY_wfuXeY,8M7Q+72 Singapore,6PH58M7Q+72,19 Pioneer Road
249,1.28856,103.838213,1.290007,103.839709,1.287309,103.837011,OPERATIONAL,SPC Havelock,ChIJSUViEHYZ2jERiEro2QYp07A,7RQQ+C7 Singapore,6PH57RQQ+C7,397 Havelock Road
250,1.297636,103.838181,1.298952,103.839571,1.296254,103.836873,OPERATIONAL,SPC Killiney,ChIJ-bfIEJoZ2jERw3IrobDHMEM,7RXQ+37 Singapore,6PH57RXQ+37,132 Killiney Road
251,1.290013,103.832446,1.291472,103.833871,1.288774,103.831173,OPERATIONAL,Shell,ChIJob-GuoIZ2jERTu84Vbn8-Vc,7RRJ+2X Singapore,6PH57RRJ+2X,548 Havelock Road
252,1.286788,103.834564,1.288014,103.835971,1.285316,103.833273,OPERATIONAL,Shell,ChIJBcAidXcZ2jER2tqtxWi6n80,7RPM+PR Singapore,6PH57RPM+PR,305 Outram Road
253,1.290006,103.832466,1.291398,103.833794,1.2887,103.831096,OPERATIONAL,Alpha Plus Management Services,ChIJt0AEuoIZ2jEREoWmW7oFz0Y,7RRJ+2X Singapore,6PH57RRJ+2X,548 Havelock Road
254,1.286819,103.834504,1.288122,103.836013,1.285424,103.833315,OPERATIONAL,Eslee Enterprise,ChIJI3XUn3cZ2jEReGYukeILr9I,7RPM+PR Singapore,6PH57RPM+PR,305 Outram Road
255,1.288528,103.838103,1.289898,103.839461,1.2872,103.836763,OPERATIONAL,SINGAPORE PETROLEUM COMPANY LIMITED,ChIJQVmAEHYZ2jERgF1-S71bViM,7RQQ+C6 Singapore,6PH57RQQ+C6,
256,1.295582,103.858808,1.296806,103.860166,1.294108,103.857468,OPERATIONAL,Sbc Petrochemical Pte Ltd,ChIJE9n1qK8Z2jERUnwMxFTUUZ8,7VW5+6G Singapore,6PH57VW5+6G,8 Temasek Boulevard
257,1.295714,103.858724,1.296868,103.860142,1.29417,103.857444,OPERATIONAL,Phibro (asia) Pte Ltd,ChIJE9n1qK8Z2jERfdrNc2sXLOM,7VW5+7F Singapore,6PH57VW5+7F,"9 Temasek Boulevard, Singapore"
258,1.295714,103.858724,1.296868,103.860142,1.29417,103.857444,OPERATIONAL,Petrofarm Singapore Pte. Ltd.,ChIJE9n1qK8Z2jER4C2tvvmnnDU,7VW5+7F Singapore,6PH57VW5+7F,"9 Temasek Boulevard, Singapore"
